year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,0.007105623620729016,0.0008180503766836619,0.016199299901072977,0.003148542728863861,0.15498249752682444,0.016047104482155086,0.024998097557263527,0.011195875504147326,0.0006373183167186668,0.033863480709230655,0.014496613651929077,0.0011034167871547067,0.004841716764325394,0.05242180960353093,0.017454912107145577,0.00687733049235218,0.004898790046419603,0.007276843467011643,0.00998782436648657,0.001835857240697055,0.01680808157674454,0.04573472338482611,0.04524008827334297,0.024417852522639068,0.0028822007457575526,0.012156609086066509,0.001236587778707861,0.003481470207746747,0.003785861045582528,0.006639525150292976,0.05461913096415798,0.004584886994901454,0.08964310174263755,0.01643710524313218,0.0013507343428962788,0.042167643253938056,0.010720264820028916,0.009978312152804201,0.05421010577581615,0.0026919564721101896,0.008123430484742409,0.000656342744083403,0.010672703751617076,0.06477817517692717,0.007276843467011643,0.002368541206909672,0.020251502929761814,0.019052964005783424,0.0035290312761585875,0.02290541054714253,0.0014078076249904878
1991,0.006220508209031325,0.0006582057866486201,0.015110921580806349,0.002706987178892916,0.1564861081497001,0.016807423819633075,0.02518795946935635,0.009798922767430865,0.0007787223391335787,0.03243749362652847,0.014397092769933902,0.0009455914118050599,0.00538616284567392,0.053268316198351706,0.016937210876155337,0.006637680890710028,0.004931908147845998,0.006443000305926633,0.00999360335221426,0.0020024288720577738,0.01757687565472935,0.045805560448321576,0.04548109280701592,0.024863491828050692,0.0026050116344825667,0.01205165524849586,0.001474010141931417,0.003698931110884499,0.0036896606068471944,0.00744421474195552,0.05211877369772595,0.0050431541962936526,0.09296461448608961,0.016584931722737766,0.0013627640934837626,0.042004653793026724,0.010614727122713661,0.011374908453772632,0.05299020107723257,0.0026142821385198712,0.008445429177984408,0.0006118532664620976,0.009965791840102347,0.06495842178939269,0.007212452141022907,0.003087077844422401,0.020701035515300968,0.01906015630069807,0.003504250526101104,0.02167443843921794,0.0012793295571480222
1992,0.005768175947060176,0.0008581488755595661,0.016216359679388503,0.002627528000424651,0.16572004883486385,0.016658704460604773,0.024753613956862538,0.008838048728701099,0.0008493019799352407,0.03383052886742042,0.015729780420050604,0.001088168161792027,0.006467080701381885,0.048171346674451936,0.017508006440540014,0.006537855866376488,0.004874639489003308,0.00698020064759276,0.00812145018313074,0.002424049401065166,0.01712758992869402,0.04318169754233239,0.045092626997186684,0.026107188987384327,0.0025213652529327457,0.011730983597855512,0.0013535750305217898,0.0036183803103490985,0.003547605145354495,0.00667055930074137,0.051073128439230675,0.004741936054638427,0.09294548542916291,0.018109595342994143,0.001397809508643417,0.04096997363625104,0.01105861953040678,0.01022701134172019,0.04968416582621158,0.0027071500610435797,0.008280694304368596,0.0007962206061892882,0.011217863651644637,0.06739565086611109,0.0066882530919900205,0.002627528000424651,0.020595573013429586,0.018994284905426685,0.0034768299803598916,0.020577879222180937,0.001459737778013695
1993,0.00573164592735205,0.0008389928553134742,0.016665047557647642,0.002587630595861557,0.17251459405993058,0.018510831839337286,0.025169785659404226,0.00814264644841077,0.0006976887954712049,0.03204952707297472,0.015137197410603103,0.0008389928553134742,0.005210587206683682,0.050065794702864055,0.01801626762988934,0.00688857291731063,0.004601213448613896,0.007285990585617013,0.008177972463371338,0.0017927952592487924,0.018705124921620405,0.042832793139687894,0.04343333539401754,0.025637855357631745,0.0027377661594439684,0.012107991627734455,0.0014218721021628353,0.003726894578339854,0.004088986231685669,0.006835583894869779,0.05038372883750916,0.0038681986381821232,0.08177089312997324,0.018563820861778137,0.0013600515759818424,0.038461198788317684,0.01073910854801247,0.013114783054110624,0.048228841924914556,0.0024816525509798555,0.009228921408448217,0.0009273078927148926,0.010818592081673746,0.06961874398353808,0.008160309455891055,0.002755429166924252,0.020206480557444517,0.020462594165908628,0.0029673852566876563,0.022158242884015862,0.001271736538580424
1994,0.0060413631468930135,0.0007680369924621524,0.01722144802685754,0.002913789827072908,0.18100335719262683,0.01932761132577437,0.022827326281117374,0.007601190853233674,0.0007522011781845823,0.034902134667764616,0.015162792170773421,0.0009976562994869196,0.004758662190409831,0.048457591689364664,0.01741939570532717,0.006825235953632736,0.005146639640210299,0.007126116424906568,0.007126116424906568,0.001876543991892063,0.018322037119148666,0.04534585418382213,0.042780452270855765,0.025060176094254767,0.002399125863051878,0.012249002343700513,0.001678596313422436,0.0036501551909799202,0.0034680433267878633,0.0067856464179388105,0.047990435168176346,0.004449863811997213,0.08187115981503769,0.018211186419205674,0.001353962120732248,0.03746753658073098,0.008575093431304238,0.013294166086020144,0.047254069804269334,0.0024228795844682335,0.008107936910115918,0.0006967758282130867,0.010807943244441629,0.06994679166402737,0.008551339709887883,0.003254259834040666,0.019438462025717362,0.022296826502818775,0.003048394248432254,0.019786849939823905,0.0011797681636789763
1995,0.006233897519779286,0.0008424185837539577,0.0175152863872177,0.0023377115699172325,0.19622034862089058,0.020175925080907285,0.019824917337676468,0.006535764178957788,0.0009477209067232024,0.03315619142558285,0.016778170126432988,0.0008213581191601087,0.007602827718379467,0.04509045469543058,0.018350684816107042,0.007055255638939395,0.004921128560096036,0.007364142452982513,0.007799392054588725,0.0015654945348094378,0.020913041341691998,0.04789149648641249,0.03821070292810659,0.023678982358350826,0.0028642231847634558,0.011281388867438416,0.001347869734006332,0.003271392166911202,0.003692601458788181,0.006465562630311624,0.04580651049162145,0.0049702696441483495,0.07506651596734223,0.019656433620925676,0.0015303937604863563,0.03790883626892809,0.008143379642954923,0.013703342295731044,0.04295632761658722,0.0024359937380218607,0.0073220215237948146,0.0008143379642954924,0.0105863935358414,0.06846757039460291,0.008957717607250415,0.003692601458788181,0.018329624351513193,0.02460564280048018,0.002794021636117293,0.02047077158522117,0.0010249426102339817
1996,0.005856753568959206,0.0006236357966947302,0.020119033093369123,0.0025216577866352136,0.20330526972248206,0.020139369043261343,0.019563183796315126,0.006432938815905424,0.0012337142934613142,0.02964981494285598,0.015353642168625696,0.0007659874459402666,0.010025623296864197,0.045708436707745284,0.01534008486869755,0.007280270061414569,0.004290885427258307,0.007171811661989398,0.006527839915402449,0.001701441140982362,0.015570558967476037,0.04633207250444001,0.03623866270793509,0.026240154010927184,0.002697902685701116,0.01063570179363078,0.0012404929434253874,0.003362210382180285,0.005124659372839306,0.006968452163067204,0.044054446116511436,0.00494163582380933,0.08111332547009938,0.020329171242255393,0.0013286153929583384,0.037079215303480156,0.007022681362779789,0.014519868223044699,0.039899133688534594,0.0026504521359526035,0.007741218258971543,0.0007456514960480471,0.010039180596792343,0.074592264204661,0.008107265357031494,0.003233416032862895,0.01673648676129662,0.024538712869944822,0.0029080408345873838,0.019203915348219247,0.0011930423936768752
1997,0.006266901067066939,0.0004555622397308678,0.01831593825379489,0.002499751776984762,0.21807413983424542,0.018181605798489636,0.020103143963508298,0.006179292944041771,0.0011447461408621807,0.028052120992658438,0.01565849185536483,0.0007359082334114019,0.011318969494851562,0.04039902579767196,0.015249653947914051,0.00710793904810854,0.004999503553969524,0.006967766051268274,0.006570609226887517,0.0017229597528282822,0.015354783695544251,0.044061045340123936,0.03563898444663789,0.02697162080868138,0.002686649106105118,0.009712820572723503,0.0014484543006827594,0.002920270767505563,0.004503057523493578,0.006488841645397361,0.04579568617602224,0.004111741240647833,0.07610225620119497,0.020710560283149455,0.001530221882172915,0.03622887914167402,0.006757506556007873,0.013474129321270668,0.04406688588165895,0.0020033057465088165,0.006938563343593218,0.0007592703995514464,0.010104136855569249,0.07624826973957026,0.007662790493934597,0.003568570877891798,0.015985562181325453,0.025499804341858577,0.0024705490693097062,0.01912193298562643,0.0010688191009070361
1998,0.00623307421579484,0.0005975418553400507,0.018288069994627607,0.0025107721995022312,0.22522394114486827,0.020661791309877532,0.019280318396614295,0.005295646167509073,0.001052550791057704,0.026872937384192004,0.015201684081265692,0.0007291107042222637,0.011556130560154374,0.039618669619656384,0.014472573377043428,0.006298858640235947,0.004511715109585887,0.00685254421261526,0.006589406514850834,0.002055763263784578,0.017613779644106264,0.045917528259892336,0.034120188143453904,0.025327003409826,0.002291490784698543,0.00908921464361288,0.00121701185216047,0.0029877092767002533,0.004451412720514873,0.006463319701338713,0.04473889065532251,0.00431984387163266,0.0785137105704606,0.020376725470632736,0.0013485807010426832,0.032947032574254166,0.006622298727071387,0.015689585229203898,0.04079730722422621,0.0022640806078480817,0.0066168166917012945,0.0008387514116241078,0.009226265527865186,0.07592070784040698,0.006825134035764799,0.004462376791255057,0.01663797734822985,0.026955167914743387,0.0021489578650761457,0.018364818489808896,0.001003212472726874
1999,0.006481018791925983,0.0004946571975146,0.016157119278002393,0.0023824305839478693,0.23362962289959974,0.019190680254597033,0.019024112014617626,0.00562293997991086,0.0012972132628699202,0.02704462514574721,0.016212642024662195,0.0006763680047648611,0.0108824583453212,0.03906277603638254,0.013547550184991698,0.006506256404044075,0.004381249463700742,0.0064860663143496014,0.005839983444126451,0.0017413952361483365,0.01517789992782043,0.04628073310215681,0.03366697456553451,0.027069862757865302,0.0022764326130518837,0.008848306808602997,0.0017010150567593897,0.002902325393580561,0.0037856418177137753,0.0068747255409682155,0.044115345982424524,0.004906191795757053,0.07534941473977498,0.021906247318503713,0.0013779736216478142,0.031138165831301707,0.007111959094878279,0.015102187091466154,0.03939086499391774,0.0025792839584689855,0.006450733657384273,0.0006258927805286775,0.009928476607257328,0.07424400732900256,0.006622349419787297,0.004734576033354028,0.01662149134097528,0.028952588621874952,0.0018473932070443224,0.020689794414411686,0.0010599797089598571
2000,0.0058857825036786144,0.0004164468752602793,0.017069694698168558,0.0026976503141860316,0.24150679733844174,0.01841620626151013,0.01853188594908243,0.005362910315851819,0.0010735075006709422,0.026888586579305367,0.016741164385463227,0.0005830256253643911,0.010101150318813219,0.03710078939818799,0.012104722507565452,0.006043106878776942,0.0045115078153196925,0.007833828442396143,0.005950563128719102,0.0018786381261741488,0.01613963001008727,0.04599887096624929,0.035203642522002275,0.02650453001656533,0.0021701509388563443,0.00994382594371489,0.001212323125757702,0.002480172501550108,0.005071397503169623,0.005959817503724886,0.03887762939929852,0.005376791878360495,0.07653368129783356,0.02110922938819327,0.0014436825009023016,0.030345095643965685,0.006149532191343458,0.017314935635821836,0.033718315333573945,0.0019850634387406645,0.006825101566765688,0.0006709421879193388,0.009143322505714577,0.0717075247323172,0.007773675004858547,0.003914600627446626,0.017032677198145423,0.034430902209019315,0.0020174537512609087,0.02120177313825111,0.0010457443756535902
2001,0.006235965922948186,0.0003574221870873876,0.016491880208902757,0.002270682129731639,0.2480888425408092,0.02155045539791602,0.018796202073889677,0.004886171545829934,0.001160570866307282,0.025440049786808177,0.016975451403197457,0.0006055152345951037,0.01101701329610536,0.0356749392382282,0.013262465624395536,0.006320065261086395,0.0049912957185026955,0.007749754009435946,0.004583413928532383,0.0016062973584397892,0.017896339155810844,0.04826461015751806,0.033866803468256705,0.02643242197683904,0.0020099741815031917,0.010436727862951719,0.0011353410648658195,0.0028551725297921906,0.005458047045169755,0.005786034463908769,0.0368018703692802,0.004541364259463278,0.07303607020612748,0.019742319627944527,0.001290924840421506,0.031528841868014496,0.006181301353158351,0.019826418966082737,0.03311411439191973,0.0019090549757373408,0.0066354377791046784,0.0006097202015020142,0.007972617255502199,0.0675696132271439,0.0067195371172428875,0.0035489920694324138,0.016647463984458443,0.03552776539648633,0.0016777817958572665,0.021727064008006256,0.0011858006677487448
2002,0.0060480799713447,0.00044053407551659826,0.017263171763000903,0.0024373474084656652,0.25645670620494304,0.01991461049788585,0.019482310704154605,0.004899397662287401,0.001037519504954979,0.026341467431356968,0.017588425893522504,0.0006546254019358797,0.011124514692017275,0.035913820006834456,0.013825359117614363,0.006389802665437014,0.005467563105477032,0.00629099128401273,0.0045494406864097295,0.0016756763433201447,0.015529855447183258,0.046334303606203706,0.0351192118145475,0.028099486592530684,0.0021120932779440647,0.009148287063531602,0.0013092508038717594,0.0029643414427285115,0.005591077332257387,0.005982205717061844,0.037437162137125495,0.004224186555888129,0.0690156327839695,0.019704636312359244,0.0011610337317353337,0.02892703191195906,0.006686236809709865,0.019585239226471568,0.03321709272213005,0.0019021190924174616,0.005817520081354704,0.0006381568383651657,0.007834919118767164,0.06816338461918506,0.006764462486670756,0.0030302156970113676,0.016052732340553426,0.036127911333253736,0.0015315764120763977,0.02105094138426511,0.0011363308863792628
2003,0.005781787770594101,0.00042619576055839684,0.018109299109009616,0.0019902537875132686,0.24659847534497734,0.02012367718485638,0.019645212132908745,0.004744443372253852,0.0010051786805622567,0.027722828009907042,0.016601531088166234,0.000731770079449323,0.009677860336453408,0.03722779761330374,0.013549808613979222,0.006718614300878124,0.005339509151146708,0.0064371642703206925,0.004780629804754093,0.0015519958827881243,0.013871465791759144,0.046129660008363084,0.03446556659911866,0.028740068834636045,0.0022717038180707,0.009251664575895012,0.0010051786805622567,0.0028828524558525523,0.005697352761426871,0.00611550709254077,0.03603364534079578,0.004350413329473447,0.06826771526906623,0.020968027276528675,0.0013107529994531829,0.02859532310463508,0.006433143555598443,0.02116504229791888,0.03216169706326997,0.0023440766830711826,0.00656984785615491,0.0006232107819485992,0.008379169481166971,0.06721026729711474,0.007241307214770497,0.003711119688635852,0.016279873910386312,0.044605809128630707,0.001664575895011097,0.02153092733764354,0.0013590015761201712
2004,0.005238767591482824,0.00035920945467736947,0.01891006604474825,0.002066343496708432,0.2462327463874554,0.018554413119325115,0.017611932866953797,0.004776418788432745,0.001223446063455595,0.026705978170023438,0.0149374228677718,0.0009104714890832335,0.00826893051608796,0.03611299804746544,0.012796392256724508,0.00605321279070181,0.006231039253413379,0.007102388920700067,0.004264278575823425,0.001532864108573725,0.0131129233603511,0.04636291535816028,0.03327133117333456,0.027595110483581282,0.0022868483104707777,0.010004516792152874,0.001010054308201712,0.002784762406063171,0.006615144412870368,0.005910951620532554,0.03524164838017875,0.00381259936053604,0.06805063075046323,0.021808637386946828,0.001532864108573725,0.02696916133483656,0.007219754386089703,0.023946111468739886,0.03339225316797843,0.0021374740817930596,0.0065226746522603525,0.0005690446806770209,0.007742564186461715,0.0724785096719813,0.007401137378055503,0.0035174074324348355,0.016466730447091293,0.04981274873476472,0.0018351690951833924,0.019425762786611803,0.0012732374730148343
2005,0.004787129684127919,0.0004741351121574783,0.017755542475966255,0.0022660388463802235,0.23849977110718723,0.0194656987770584,0.016830161532927865,0.004440520567654175,0.0011608135504545156,0.02808187822902361,0.016509711595055914,0.0008436335099077889,0.005967562618533778,0.03711660453861749,0.012925904126610424,0.0064384278333660325,0.005653652475312275,0.007762736250081747,0.004322804263946112,0.001330848211366163,0.013122097966123864,0.045889739062193444,0.031809561179778956,0.026731410633706102,0.002354326074161271,0.009894709306127788,0.0011640834477797397,0.002789222418416062,0.005938133542606762,0.00594467333725721,0.03589039304165849,0.004113530835131777,0.07066902099274083,0.02253940226276895,0.0017592047609705055,0.028176705251455103,0.006722908900660519,0.022356288012556406,0.031819370871754626,0.0017820940422470734,0.0062291544045516975,0.0005853116212150938,0.009123013537374927,0.07228108037407625,0.00772349748217906,0.003799620691910274,0.01685959060885488,0.0577431168661304,0.0018049833235236413,0.018442220914263292,0.001307958930089595
2006,0.004375737686040821,0.0004062271097420938,0.01610834428867074,0.0019959505234572166,0.24645510870573484,0.018414562762088454,0.016536961869028543,0.004903513064839604,0.0011579071946979365,0.02849667181647491,0.017867595551333354,0.0008476392447374397,0.005677583620411153,0.03933365959447659,0.011911730367555568,0.006678757520799148,0.005328932006538017,0.007510403572239655,0.0043949295179971405,0.0016888812121561064,0.013568625193117809,0.04627150684668605,0.03051501281054783,0.02636317983066407,0.0023957803558805374,0.01007571177706768,0.001109927614807138,0.0028180006589195636,0.006467647369279635,0.0061893658059130035,0.0349035450512262,0.004465299568503645,0.07174546513004065,0.02380107026449543,0.0014713737833178199,0.030016025179683527,0.006166975335297298,0.018593686527014104,0.0320215716191189,0.0018328199518285017,0.006547613335764299,0.0005725563200301952,0.010680254483691741,0.06816938710884647,0.008914605943710357,0.003742407231482281,0.01730143650862193,0.052396899879411325,0.0019287791116100988,0.017522142576119604,0.0013402295982829708
2007,0.004314872827276519,0.00042019837126094006,0.017783171368811874,0.0021574364136382595,0.25664399476947103,0.01619331633724996,0.015904821933100655,0.004503021351721715,0.0011508418078564552,0.0270714368589231,0.016055340752656813,0.0008121744638551005,0.004923219722982656,0.038808768975562645,0.012621630181531968,0.006720038131434287,0.006475445049655531,0.007635694283734246,0.0042991937835727525,0.0016400279714139676,0.013095137301385715,0.044054976998842886,0.030570999413603764,0.023339824457426692,0.0018156332608961513,0.010821675964339583,0.0010128662232633107,0.0026466225771957716,0.006409593066099712,0.005970579842394253,0.03255910215524135,0.004590823996462808,0.07466674192607645,0.025798298510177266,0.0015051881955615762,0.029059539600560683,0.005647591542096665,0.018015221215627618,0.031314186085162295,0.001834448113340671,0.007086927754102422,0.0006271617481506568,0.008532535583589686,0.06724741844545418,0.009369796517370813,0.004035785849349476,0.017547985713255377,0.05515573994110951,0.0018469913483036842,0.016422230375324948,0.0012637309225235734
