year,Australia-NZ-Canada,China,France,Germany,India,Japan,Latin-America-and-Africa,Other-W-Eur-and-Near-East,Russia-and-E-Eur,South-Korea,United-Kingdom,United-States
1997,0.010053348447455973,0.013121074797115778,0.030804344124173023,0.05959827272011,0.0007688377968285759,0.5349903799964926,0.0008857519741975494,0.041124561889536435,0.0035824028913384385,0.07492927963075453,0.012558107616958655,0.21758363811503847
1998,0.011131060572475654,0.014415333008231,0.030640894918059436,0.06834414544881362,0.0009753070000443322,0.5214801515173905,0.0009432893460024727,0.04331496012570624,0.0035785885632939763,0.06736637555230453,0.013176496086457518,0.22463339786122072
1999,0.010909653654078807,0.01598945407677423,0.03019640313531111,0.07000003388792811,0.0010561737592217524,0.480056389512364,0.0011092648465837016,0.043897292467504304,0.003612453135819427,0.10626237615374275,0.0131180169688152,0.22379248840185662
2000,0.010997930604946457,0.022924075301870492,0.0278032266489864,0.06690374299318907,0.0015731420649749864,0.4562202398890965,0.0010136017519538705,0.043118759166616435,0.0034084744741124705,0.1367176983505113,0.01221947642296024,0.21709963233078175
2001,0.011468014084493178,0.025016020766457092,0.02754882765395932,0.06727442219420024,0.0018437416635412637,0.45119793989185614,0.0010267071837018356,0.04405095538893302,0.0035585296923126898,0.11941992520689183,0.013495834600721157,0.23409908167293225
2002,0.012185380675677792,0.035490116998449416,0.027796920763700723,0.06580281767350071,0.0027448431406330758,0.4270619606246182,0.0012911726471094961,0.04371583629614547,0.0037834588939182736,0.12974669914013187,0.012618055664322522,0.2377627374817924
2003,0.012164050772690413,0.05000201296348484,0.028204494084763016,0.06547403372959958,0.0030654558212028318,0.4040496991098867,0.0013812763722180366,0.042009589374620175,0.004116989603522878,0.13932678832634549,0.011801717345418782,0.23840389249624727
2004,0.013670465071051149,0.05293318785785155,0.021616953387414175,0.07779861754342014,0.0028965992359240933,0.34673734973118897,0.0016514323951043765,0.041305587511083715,0.004074192495706605,0.19489292059609786,0.010717005138888432,0.2317056890362689
2005,0.013576991631576987,0.07070481317073596,0.02107441389733604,0.07831239840636187,0.0027279204480700476,0.3254174502899505,0.0016770132679012845,0.04201964388036777,0.004011041658245936,0.18767094083138963,0.01043298802393786,0.2423743844941261
2006,0.012965403636305736,0.08609175661171171,0.020483803378068825,0.09819950683119137,0.0030318229224341143,0.2756338854884318,0.0017949202309946535,0.042393410326726146,0.003908294051359326,0.21976337450793493,0.009463137911393183,0.2262706841034482
2007,0.013357825862230993,0.10928175805845315,0.022152670096795415,0.10533476059580867,0.0036562588102621936,0.26523294333239356,0.002045449205901701,0.044822943097453244,0.0046988065031482,0.18481140165397988,0.010474667559439902,0.23413051522413306
2008,0.012810402348599434,0.1445209614964004,0.025301969385649024,0.11188038900988544,0.004496810106617296,0.26757598908258606,0.002117867407637877,0.048332814776707464,0.004924234256158759,0.13875420107880315,0.0107695483012393,0.22851481274971583
2009,0.011091916004752771,0.1789102890529198,0.02570875154076422,0.10907262254330401,0.004734528506319315,0.23878236398046224,0.0020242112159703286,0.04912440173929873,0.0051120851437808645,0.15090526342507324,0.010646145352959933,0.21388742149439455
2010,0.010361054733173024,0.18911320567407178,0.02362656908380948,0.08912065123872134,0.0051526064991506545,0.1997576055064087,0.002130948178870039,0.04204468993359659,0.0053421926360608,0.2316080765073132,0.00937313860883761,0.19236926139998675
2011,0.010298292449372696,0.2365879713079938,0.022125054599828015,0.059976812567822585,0.005235073822873275,0.1872297267827861,0.0027158328760292596,0.039000063143765334,0.005289755021719502,0.2238147036441764,0.00921833877215972,0.19850837501147328
2012,0.010371257197969146,0.244755866711494,0.022118241919887368,0.05819308502954881,0.006412492438544845,0.15811594084056257,0.0029192420819973974,0.03906094769396907,0.00617595056716433,0.23271683162571127,0.009951789612721033,0.20920835428043016
